epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,18.1327,1.85878,3.49514,1.735,0.50131,0.15446,0.31413,0.14559,1.84286,2.87771,1.60294,0.00988889,0.0032963,0.00988889,0.0032963,0.00988889,0.0032963,0.00988889,0.0032963
2,36.5321,1.74428,2.0697,1.64027,0.33881,0.47508,0.38599,0.18459,1.87312,2.11493,1.76846,0.019887,0.006629,0.019887,0.006629,0.019887,0.006629,0.019887,0.006629
3,54.8268,1.74323,1.93364,1.64638,0.22899,0.36609,0.13762,0.04875,2.37436,4.23371,2.61591,0.0298775,0.00995916,0.0298775,0.00995916,0.0298775,0.00995916,0.0298775,0.00995916
4,73.0253,1.75745,1.96167,1.68357,0.5931,0.28755,0.26883,0.11951,2.39349,3.25563,2.16602,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
5,92.135,1.71192,1.86088,1.65127,0.39072,0.43749,0.36661,0.16805,2.15456,2.23254,2.0128,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
6,111.773,1.67437,1.80891,1.62214,0.76488,0.23065,0.27172,0.11116,2.2069,3.49443,1.92078,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616
7,128.967,1.65661,1.74446,1.61458,0.59973,0.60079,0.65699,0.3225,1.70873,1.74332,1.61806,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
8,146.374,1.63306,1.71525,1.6033,0.72857,0.48772,0.5705,0.28053,1.79474,1.7525,1.67283,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332
9,167.262,1.60267,1.66973,1.58178,0.62862,0.49417,0.56992,0.28767,1.8001,1.89094,1.62458,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
10,184.504,1.59233,1.65342,1.58182,0.58044,0.56492,0.60601,0.29285,1.8165,1.85219,1.6589,0.0297687,0.00992291,0.0297687,0.00992291,0.0297687,0.00992291,0.0297687,0.00992291
11,202.296,1.56828,1.60163,1.57311,0.56247,0.54614,0.55782,0.28946,1.73341,2.00851,1.6535,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
12,218.796,1.58203,1.6129,1.57846,0.62046,0.58054,0.63236,0.32624,1.68122,1.47912,1.56738,0.029655,0.00988499,0.029655,0.00988499,0.029655,0.00988499,0.029655,0.00988499
13,237.794,1.57128,1.59561,1.56891,0.60163,0.64475,0.65875,0.32603,1.72924,1.46785,1.616,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
14,253.847,1.56619,1.56161,1.56543,0.61284,0.60002,0.62514,0.32236,1.71041,1.64713,1.58844,0.0295188,0.00983962,0.0295188,0.00983962,0.0295188,0.00983962,0.0295188,0.00983962
15,270.493,1.54612,1.55694,1.55213,0.61427,0.58959,0.61698,0.32582,1.71889,1.48694,1.60216,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
16,286.815,1.53976,1.54058,1.55014,0.6755,0.62581,0.69584,0.38512,1.59839,1.32647,1.52242,0.0293606,0.00978685,0.0293606,0.00978685,0.0293606,0.00978685,0.0293606,0.00978685
17,303.71,1.53383,1.51485,1.53877,0.67304,0.58278,0.65775,0.31829,1.71955,1.51771,1.57553,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
18,321.882,1.5349,1.52546,1.55103,0.63807,0.69981,0.70226,0.36593,1.62899,1.35428,1.54128,0.0291804,0.00972679,0.0291804,0.00972679,0.0291804,0.00972679,0.0291804,0.00972679
19,338.418,1.52335,1.50292,1.54629,0.6506,0.5958,0.64079,0.34115,1.67268,1.42911,1.58517,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
20,354.125,1.52344,1.50097,1.5396,0.58125,0.71347,0.71028,0.37871,1.61237,1.29087,1.53173,0.0289785,0.00965951,0.0289785,0.00965951,0.0289785,0.00965951,0.0289785,0.00965951
21,370.55,1.51279,1.47047,1.52603,0.6266,0.68302,0.71185,0.39692,1.54936,1.3575,1.49901,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
22,388.348,1.50359,1.46254,1.51996,0.65075,0.65555,0.69119,0.35554,1.6853,1.35681,1.5617,0.0287554,0.00958513,0.0287554,0.00958513,0.0287554,0.00958513,0.0287554,0.00958513
23,403.832,1.51221,1.46412,1.53154,0.63353,0.6474,0.68203,0.37529,1.61788,1.31039,1.55454,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
24,419.242,1.49702,1.45576,1.51832,0.62253,0.6707,0.69775,0.37839,1.6171,1.29282,1.53448,0.0285113,0.00950375,0.0285113,0.00950375,0.0285113,0.00950375,0.0285113,0.00950375
25,434.762,1.49173,1.43686,1.51776,0.59323,0.69805,0.69952,0.36134,1.67381,1.30385,1.54585,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
26,450.309,1.47873,1.42323,1.51028,0.67047,0.65905,0.70319,0.36746,1.68021,1.36028,1.53962,0.0282465,0.00941551,0.0282465,0.00941551,0.0282465,0.00941551,0.0282465,0.00941551
27,467.157,1.48072,1.42096,1.50693,0.61693,0.66243,0.68852,0.36326,1.589,1.30138,1.54362,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
28,484.575,1.48781,1.42034,1.51895,0.63573,0.68955,0.70208,0.38831,1.57122,1.28316,1.52105,0.0279616,0.00932054,0.0279616,0.00932054,0.0279616,0.00932054,0.0279616,0.00932054
29,500.544,1.47996,1.43222,1.50987,0.65818,0.69111,0.72638,0.40276,1.54133,1.27685,1.5033,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
30,516.538,1.4786,1.40877,1.50225,0.68433,0.67082,0.72852,0.38934,1.58685,1.28964,1.51279,0.0276569,0.00921898,0.0276569,0.00921898,0.0276569,0.00921898,0.0276569,0.00921898
31,532.476,1.47218,1.40845,1.50263,0.6744,0.70618,0.74539,0.39543,1.60841,1.24209,1.50359,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
32,550.388,1.46592,1.39298,1.49289,0.7,0.61002,0.70125,0.3851,1.61933,1.328,1.53686,0.027333,0.00911099,0.027333,0.00911099,0.027333,0.00911099,0.027333,0.00911099
33,566.439,1.46075,1.38197,1.48834,0.68987,0.65672,0.71315,0.39608,1.57807,1.25176,1.49706,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
34,582.127,1.45662,1.37729,1.48531,0.65058,0.68489,0.73759,0.39754,1.56582,1.23068,1.48957,0.0269902,0.00899674,0.0269902,0.00899674,0.0269902,0.00899674,0.0269902,0.00899674
35,597.764,1.45505,1.36376,1.48364,0.66619,0.68136,0.73519,0.4,1.59173,1.21027,1.51666,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732
36,613.421,1.45241,1.36688,1.48356,0.67009,0.6712,0.72655,0.39352,1.5914,1.22021,1.50294,0.0266292,0.0088764,0.0266292,0.0088764,0.0266292,0.0088764,0.0266292,0.0088764
37,631.33,1.43792,1.35605,1.47188,0.67311,0.67439,0.73053,0.39739,1.55215,1.2943,1.49072,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
38,647.568,1.4498,1.36932,1.48575,0.71447,0.70603,0.75892,0.42988,1.53442,1.18403,1.4835,0.0262505,0.00875017,0.0262505,0.00875017,0.0262505,0.00875017,0.0262505,0.00875017
39,663.422,1.43985,1.34381,1.47121,0.73111,0.69237,0.75761,0.40923,1.61446,1.19679,1.53144,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849
40,679.373,1.44549,1.34731,1.47917,0.65391,0.68804,0.72066,0.39765,1.53066,1.2521,1.48938,0.0258547,0.00861823,0.0258547,0.00861823,0.0258547,0.00861823,0.0258547,0.00861823
41,695.014,1.42592,1.33414,1.47081,0.71378,0.6762,0.74777,0.40852,1.58364,1.18835,1.51864,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
42,710.583,1.4238,1.33451,1.47028,0.68882,0.73144,0.75109,0.40825,1.5855,1.21305,1.49789,0.0254423,0.00848078,0.0254423,0.00848078,0.0254423,0.00848078,0.0254423,0.00848078
43,726.591,1.42376,1.32371,1.46274,0.71092,0.6642,0.73778,0.40677,1.54222,1.21423,1.49714,0.0252302,0.00841006,0.0252302,0.00841006,0.0252302,0.00841006,0.0252302,0.00841006
44,747.018,1.41741,1.31204,1.46271,0.65712,0.67073,0.71655,0.39062,1.56429,1.22998,1.50849,0.0250141,0.00833805,0.0250141,0.00833805,0.0250141,0.00833805,0.0250141,0.00833805
45,766.024,1.42036,1.29876,1.45707,0.66726,0.71903,0.73686,0.40442,1.57909,1.20853,1.50886,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
46,784.49,1.4208,1.30626,1.46018,0.64997,0.67039,0.72096,0.40492,1.55426,1.24554,1.50717,0.0245707,0.00819025,0.0245707,0.00819025,0.0245707,0.00819025,0.0245707,0.00819025
